test_start,test_end,return,sharpe,win_rate,year
2022-12-20,2023-03-20,0.21406433836775474,11.967893417669956,0.7666666666666667,2022
2023-03-22,2023-06-16,0.2528072161756745,11.787290166981476,0.8,2023
2023-06-20,2023-09-12,0.3349404969720986,9.094928696405717,0.8,2023
2023-09-14,2023-12-13,0.5188868331678629,21.01076917678412,0.9333333333333333,2023
2023-12-15,2024-03-15,1.2033359604548202,15.463946582441812,0.9,2023
2024-03-19,2024-06-17,0.17654259347295387,9.210440729508205,0.7333333333333333,2024
2024-06-19,2024-09-09,0.13187996609000008,4.88278535260679,0.5,2024
2024-09-11,2024-12-11,2.6833984289332413,11.796805735167181,0.7666666666666667,2024
2024-12-13,2025-03-14,0.9461422451406956,14.734759447209337,0.7333333333333333,2024
2025-03-18,2025-06-13,0.3173769852021593,11.252113019224854,0.7666666666666667,2025
2025-06-17,2025-09-05,0.6450651804883876,16.25772354578401,0.9,2025
2025-09-09,2025-12-08,0.40971487297204945,7.74499158213494,0.5333333333333333,2025
