signal,ic_1,icir_1,pctpos_1,ic_2,icir_2,pctpos_2,ic_3,icir_3,pctpos_3,ic_5,icir_5,pctpos_5,ic_8,icir_8,pctpos_8
breadth_resid_ew,0.002435958314307209,0.623713018107613,0.56,-0.007581380842852132,-1.7300111291398501,0.46,-0.009441815133912908,-2.126713516734348,0.46,-0.0029848601323937663,-0.644620436770212,0.45,-0.00912162718045071,-1.9650251715609284,0.42
breadth_resid_cw,0.0005363291845411007,0.12700208051466036,0.57,-0.012488422529951637,-2.8177438983825174,0.47,-0.01306699933725781,-3.0713284806158567,0.41,-0.0035850629938073897,-0.8177485695669029,0.45,-0.01090200896083249,-2.468792876340393,0.42
breadth_top30,-0.00845132347646218,-1.940201037540814,0.47,-0.014557354469805628,-3.5325391868941614,0.41,-0.015087447612717981,-3.672543746935276,0.43,-0.00780603049099994,-1.876326681882796,0.49,-0.018766975268615264,-4.715652632736467,0.42
breadth_top50,-0.009245088606832874,-2.1483152772154446,0.45,-0.014531279750156008,-3.730558997681498,0.45,-0.01560025129528938,-3.8486147504683297,0.43,-0.010750417378632833,-2.555379604550185,0.47,-0.020463392316396045,-5.035698192935313,0.41
breadth_bottom200,-0.0011854037081194414,-0.2679832971888374,0.54,-0.006933444376714174,-1.6857660147527775,0.46,-0.00900516952760885,-2.05640498004835,0.42,-0.005791792311163433,-1.3162494170491137,0.43,-0.012802796098199154,-2.8803032311273755,0.47
breadth_deficit,0.013513153621114044,2.9562559662415833,0.57,0.017355952671976663,3.9587939796406326,0.62,0.016925060336169064,4.0355867684392255,0.61,0.007337654226500258,1.7859365482332794,0.51,0.01835510633902225,4.130035711251906,0.6
deficit_resid_cw,0.01053561032604789,2.1349794015786534,0.56,0.013080704763741641,2.7741095462248024,0.64,0.012948641378503765,2.8562743903396655,0.57,0.0032958787102284875,0.7588080252009748,0.53,0.010836737189678368,2.1643362798368173,0.54
intensity_ew_resid,0.009087242084203641,1.7767396237666333,0.55,0.0019576952986340933,0.37571207040715926,0.51,0.0009018803685366384,0.17537999655704412,0.53,0.005522613709160796,1.0595098985264686,0.56,0.010087507087507086,1.7652654932502208,0.53
breadth_cw_resid_ew,-0.005437152024396641,-1.2666331247114782,0.48,-0.014735857225223602,-3.339434052649329,0.43,-0.014320699647836992,-3.3651826863953263,0.41,-0.0033362588084561162,-0.7709041111757454,0.46,-0.012598919363625245,-2.808622542784492,0.4
breadth_ew_resid_cw,0.006502358564591458,1.5964257283871293,0.62,-0.005810207460876669,-1.2820418203058777,0.49,-0.008230312008628641,-1.7581274755928815,0.47,-0.0037339525944907136,-0.7990295575060317,0.45,-0.0072172612760848034,-1.5259770958016838,0.46
top30_breadth_resid,-0.0037248108440309947,-0.878276445129612,0.45,-0.016362991901413507,-3.836807210402357,0.42,-0.01727711200343066,-4.250069875612182,0.45,-0.0064946295109972255,-1.6176386981396553,0.47,-0.015074688427629606,-3.9812724639643085,0.38
neg_breadth_resid,-0.002435958314307209,-0.623713018107613,0.44,0.007581380842852132,1.7300111291398501,0.54,0.009441815133912908,2.126713516734348,0.54,0.0029848601323937663,0.644620436770212,0.55,0.00912162718045071,1.9650251715609284,0.58
bot200_resid_cw,0.008646632451702324,1.967256990656444,0.6,-0.001255506607929516,-0.2739308661343081,0.51,-0.0028658635790677423,-0.5984729389298269,0.54,-0.0010629617766389058,-0.21988490037172825,0.47,-0.0003732753732753749,-0.0723192693295923,0.47
top30_resid_cw,-0.0037801021994032457,-0.8540347766647459,0.52,-0.012783291510128879,-2.8834192258443547,0.42,-0.014275477239353893,-3.507563641539003,0.39,-0.003222079863335471,-0.7967073805951415,0.49,-0.01070659388306447,-2.70098217320767,0.43
breadth_spread,0.012321282235417053,2.7661279680708866,0.58,0.01567739879390766,3.5354040753386213,0.66,0.015202540108204604,3.6008896938478134,0.61,0.005697464112675842,1.3725731506501408,0.52,0.015384949470559002,3.52195173816997,0.64
spread_resid_cw,0.008603622439319739,1.7910919260156317,0.55,0.01120716541265448,2.3726594222077546,0.65,0.011371959507751488,2.4712234896344274,0.64,0.00280945974802477,0.6468590989749367,0.56,0.008885710473945768,1.8432480385999932,0.51
