date,signal_datetime,entry_datetime,exit_datetime,signal_minute_idx,entry_minute_idx,exit_minute_idx,hold_bars,side,entry_px,exit_px,gross_bps,net_bps,state,DirScore_5,DirScore_10,GateScore_5,GateScore_10,Exhaustion_10,IPG_10,signal_side_5
2026-03-06,2026-03-06 10:33:00,2026-03-06 10:34:00,2026-03-06 11:04:00,62,63,93,30,-1,4.654,4.66,-12.883832574545968,-17.38383257454597,EMERGING_DOWN,-0.7938531244021597,-0.5394995247638366,1.0028358708854699,0.514465275305031,0.003271761478781746,0.414569377188038,-1
2026-03-11,2026-03-11 11:17:00,2026-03-11 11:18:00,2026-03-11 13:18:00,106,107,137,30,-1,4.712,4.7,25.499376332725365,20.999376332725365,EMERGING_DOWN,-0.8763268299997555,-0.6177256909912947,0.7634456034477484,0.47434051350222356,0.05600738241947062,-0.11201476483894124,-1
2026-03-12,2026-03-12 13:26:00,2026-03-12 13:27:00,2026-03-12 13:57:00,145,146,176,30,-1,4.669,4.685,-34.209997015854384,-38.709997015854384,EMERGING_DOWN,-0.9548151832669559,-0.11443028529559554,0.7400002701149225,0.320852429785314,0.36676829572143743,-0.013410477068074356,-1
2026-03-17,2026-03-17 10:32:00,2026-03-17 10:33:00,2026-03-17 11:03:00,61,62,92,30,-1,4.718,4.705,27.592079481402582,23.092079481402582,EMERGING_DOWN,-0.8535894409627184,-0.5083538608582527,0.7083395684263587,-0.13455772687751788,0.5418847280921952,0.23742432469092703,-1
2026-03-20,2026-03-20 10:31:00,2026-03-20 10:32:00,2026-03-20 11:02:00,60,61,91,30,-1,4.609,4.604,10.85422878734964,6.354228787349641,EMERGING_DOWN,-0.8721359211119998,-0.38534811252179524,1.174433105088328,1.0126401152933302,0.0,1.800894629261435,-1
2026-03-23,2026-03-23 10:20:00,2026-03-23 10:21:00,2026-03-23 10:51:00,49,50,80,30,-1,4.513,4.484,64.46615634950612,59.96615634950612,EMERGING_DOWN,-0.9801110495494835,-0.14682027167396924,0.6133269563032874,0.23912037675090164,0.2929959880000172,1.254977257291685,-1
2026-03-23,2026-03-23 13:35:00,2026-03-23 13:36:00,2026-03-23 14:06:00,154,155,185,30,-1,4.461,4.431,67.47663928775273,62.97663928775273,EMERGING_DOWN,-0.8088767244822147,-0.2521287676168926,2.2061267563778495,1.1762141594331361,0.5215657412123361,0.9228471278808067,-1
2026-03-24,2026-03-24 13:14:00,2026-03-24 13:15:00,2026-03-24 13:45:00,133,134,164,30,-1,4.434,4.436,-4.509582940009089,-9.00958294000909,EMERGING_DOWN,-0.819217785199832,-0.1823729442628697,0.9370320033088629,-0.6408154959193174,0.6064380383083029,-0.1405973504940605,-1
2026-04-01,2026-04-01 10:35:00,2026-04-01 10:36:00,2026-04-01 11:06:00,64,65,95,30,-1,4.523,4.524,-2.210677581679447,-6.710677581679446,EMERGING_DOWN,-0.8760661235383838,-0.022283905665496095,0.8301447382845754,-0.12963042799010052,0.1354028923272483,0.47480720526319914,-1
2026-04-21,2026-04-21 13:18:00,2026-04-21 13:19:00,2026-04-21 13:49:00,137,138,168,30,-1,4.769,4.781,-25.13090327878985,-29.63090327878985,EMERGING_DOWN,-0.8067214913960946,-0.7474982894413105,0.8002206614589303,0.22897303669756602,0.12053316515060192,-0.21055189529373064,-1
2026-04-22,2026-04-22 13:35:00,2026-04-22 13:36:00,2026-04-22 14:06:00,154,155,185,30,-1,4.806,4.802,8.326395152157682,3.826395152157682,EMERGING_DOWN,-1.0685285075943005,-1.1079508634408264,0.692931675785761,0.4676282531384273,0.0,0.0029403036637937197,-1
2026-04-28,2026-04-28 14:12:00,2026-04-28 14:13:00,2026-04-28 14:43:00,191,192,222,30,-1,4.772,4.764,16.77852742615976,12.278527426159759,EMERGING_DOWN,-0.7606584402304937,-0.4019701067997908,1.07417460934936,1.7101690728455647,0.0,0.2672420418513888,-1
