label,segment,n_trades,win_rate,avg_net_bps,median_net_bps,std_net_bps,t_stat,win_rate_ci_low,win_rate_ci_high,if_total_return,if_max_drawdown,if_sharpe,if_calmar
score_selected | base,train,44,0.7045,11.299,8.258,30.079,2.492,0.558,0.818,0.5235,-0.0922,2.766,8.25
score_selected | base,oos,12,0.5833,1.918,2.801,27.401,0.243,0.32,0.807,0.0163,-0.033,0.557,3.19
score_selected | + bucket_penetration,train,26,0.8077,16.534,12.947,27.57,3.058,0.621,0.915,0.4344,-0.0505,3.154,12.36
score_selected | + bucket_penetration,oos,9,0.5556,4.087,6.354,31.145,0.394,0.267,0.811,0.0278,-0.0324,0.871,5.72
ipg0_oos_strong | base,train,38,0.6579,7.359,5.017,29.295,1.549,0.499,0.788,0.2571,-0.1234,1.662,2.92
ipg0_oos_strong | base,oos,9,0.7778,17.437,10.195,27.565,1.898,0.453,0.937,0.1436,-0.0064,3.04,203.19
ipg0_oos_strong | + bucket_penetration,train,23,0.7826,15.195,12.417,27.869,2.615,0.581,0.903,0.3333,-0.0447,2.764,10.56
ipg0_oos_strong | + bucket_penetration,oos,7,0.7143,14.106,10.195,25.539,1.461,0.359,0.918,0.0804,-0.0051,2.629,121.35
ipg_m008_balanced | base,train,34,0.7059,8.673,8.258,29.971,1.687,0.538,0.832,0.2824,-0.1075,1.95,3.69
ipg_m008_balanced | base,oos,9,0.6667,11.743,6.354,33.365,1.056,0.354,0.879,0.0855,-0.033,1.996,20.09
ipg_m008_balanced | + bucket_penetration,train,22,0.8182,16.186,12.947,28.106,2.701,0.615,0.927,0.3408,-0.0447,2.786,10.81
ipg_m008_balanced | + bucket_penetration,oos,7,0.5714,6.786,6.354,32.444,0.553,0.25,0.842,0.0372,-0.033,1.164,7.71
ipg_q25_balanced | base,train,39,0.6667,8.578,8.19,29.859,1.794,0.51,0.794,0.3259,-0.1053,2.069,4.38
ipg_q25_balanced | base,oos,12,0.5833,7.337,5.09,31.48,0.807,0.32,0.807,0.0682,-0.037,1.6,13.69
ipg_q25_balanced | + bucket_penetration,train,25,0.76,14.889,12.417,29.504,2.523,0.566,0.885,0.3553,-0.0514,2.694,9.82
ipg_q25_balanced | + bucket_penetration,oos,10,0.5,2.986,-0.178,29.719,0.318,0.237,0.763,0.0224,-0.0363,0.722,4.07
base_exh90 | base,train,48,0.6875,9.963,8.258,31.486,2.192,0.547,0.801,0.4895,-0.0954,2.499,7.43
base_exh90 | base,oos,14,0.5714,4.884,2.801,29.8,0.613,0.326,0.786,0.0516,-0.0375,1.246,9.76
base_exh90 | + bucket_penetration,train,28,0.75,12.316,11.494,30.858,2.112,0.566,0.873,0.3326,-0.0935,2.341,5.04
base_exh90 | + bucket_penetration,oos,10,0.5,2.778,-0.178,29.654,0.296,0.237,0.763,0.0206,-0.0363,0.674,3.72
BP-only walkforward,wf,16,0.75,17.765,9.386,25.2,2.82,0.505,0.898,0.2625,-0.0166,3.681,61.56
chunk_B | ipg0 base,hold_out,15,0.8,15.277,13.478,28.588,2.07,0.548,0.93,0.1991,-0.0529,3.641,20.42
chunk_B | ipg0 + bucket_penetration,hold_out,11,0.8182,16.533,16.987,30.132,1.82,0.523,0.949,0.1441,-0.0448,3.016,16.08
chunk_C | ipg0 base,hold_out,13,0.6923,12.421,6.05,26.821,1.67,0.424,0.873,0.1343,-0.043,2.515,15.43
chunk_C | ipg0 + bucket_penetration,hold_out,11,0.7273,11.399,6.05,28.098,1.346,0.434,0.903,0.1007,-0.0426,2.378,11.09
