date,signal_datetime,entry_datetime,exit_datetime,entry_minute_idx,exit_minute_idx,side,entry_px,exit_px,gross_bps,net_bps,fold_id
2025-12-22,2025-12-22 10:25:00,2025-12-22 10:26:00,2025-12-22 10:56:00,55,85,-1,4.726,4.722,8.46740101394796,3.96740101394796,0
2025-12-22,2025-12-22 14:26:00,2025-12-22 14:27:00,2025-12-22 14:57:00,206,236,-1,4.733,4.73,6.3404842026920605,1.8404842026920605,0
2025-12-23,2025-12-23 13:57:00,2025-12-23 13:58:00,2025-12-23 14:28:00,177,207,-1,4.742,4.737,10.549637015989525,6.049637015989525,0
2026-01-13,2026-01-13 10:03:00,2026-01-13 10:04:00,2026-01-13 10:34:00,33,63,-1,4.943,4.913,60.876811383109676,56.376811383109676,1
2026-01-20,2026-01-20 13:52:00,2026-01-20 13:53:00,2026-01-20 14:23:00,172,202,-1,4.728,4.717,23.292758016724378,18.792758016724378,1
2026-01-22,2026-01-22 10:07:00,2026-01-22 10:08:00,2026-01-22 10:38:00,37,67,-1,4.746,4.714,67.65353499632418,63.15353499632418,1
2026-01-27,2026-01-27 11:00:00,2026-01-27 11:01:00,2026-01-27 13:01:00,90,120,-1,4.733,4.725,16.91689978404888,12.41689978404888,1
2026-02-10,2026-02-10 10:08:00,2026-02-10 10:09:00,2026-02-10 10:39:00,38,68,-1,4.731,4.729,4.228329872722536,-0.2716701272774644,2
2026-03-03,2026-03-03 10:58:00,2026-03-03 10:59:00,2026-03-03 11:29:00,88,118,-1,4.729,4.73,-2.114388421029302,-6.614388421029302,2
2026-03-03,2026-03-03 13:08:00,2026-03-03 13:09:00,2026-03-03 13:39:00,128,158,-1,4.731,4.71,44.486886206846506,39.986886206846506,2
2026-03-06,2026-03-06 10:33:00,2026-03-06 10:34:00,2026-03-06 11:04:00,63,93,-1,4.654,4.66,-12.883832574545968,-17.38383257454597,3
2026-03-11,2026-03-11 11:04:00,2026-03-11 11:05:00,2026-03-11 13:05:00,94,124,-1,4.713,4.704,19.114373452680397,14.614373452680397,3
2026-03-20,2026-03-20 10:31:00,2026-03-20 10:32:00,2026-03-20 11:02:00,61,91,-1,4.609,4.604,10.85422878734964,6.354228787349641,3
2026-03-23,2026-03-23 10:20:00,2026-03-23 10:21:00,2026-03-23 10:51:00,50,80,-1,4.513,4.484,64.46615634950612,59.96615634950612,3
2026-03-23,2026-03-23 14:20:00,2026-03-23 14:21:00,2026-03-23 14:51:00,200,230,-1,4.427,4.411,36.20732627201287,31.70732627201287,3
2026-04-01,2026-04-01 10:35:00,2026-04-01 10:36:00,2026-04-01 11:06:00,65,95,-1,4.523,4.524,-2.210677581679447,-6.710677581679446,3
