date,signal_datetime,entry_datetime,exit_datetime,signal_minute_idx,entry_minute_idx,exit_minute_idx,hold_bars,side,entry_px,exit_px,gross_bps,net_bps,consensus_short,DirScore_5,DirScore_10,Exhaustion_10,IPG_10,Sector_Down_Frac_10,Bucket_Top_Sign_10,Bucket_Penetration_10,EW_SignedBreadth_10,IPG_velocity_10,WavefrontDown_Frac_5,fold_id
2025-12-23,2025-12-23 13:57:00,2025-12-23 13:58:00,2025-12-23 14:28:00,176,177,207,30,-1,4.742,4.737,10.549637015989525,6.049637015989525,6,-1.1151450349858014,-0.13482097890502873,0.0,2.226638325017648,0.9655172413793104,-0.8305084745762712,-0.1694915254237288,-0.7248322147651006,0.08976107210843365,0.09731543624161074,0
2026-01-13,2026-01-13 10:03:00,2026-01-13 10:04:00,2026-01-13 10:34:00,32,33,63,30,-1,4.943,4.913,60.876811383109676,56.376811383109676,5,-0.9526080177649303,-0.20459058847057826,0.42412805673651893,0.03640838007169955,0.4482758620689655,-0.21666666666666667,-0.35,0.006688963210702341,-1.5969801659235405,0.0802675585284281,1
2026-01-13,2026-01-13 11:24:00,2026-01-13 11:25:00,2026-01-13 13:25:00,113,114,144,30,-1,4.918,4.898,40.749852640249586,36.249852640249586,4,-0.835752174419842,-1.4114814638514008,0.0,0.8017255195830815,0.7241379310344828,-0.2833333333333333,0.21666666666666667,-0.3864406779661017,-0.12682567141584844,0.20677966101694914,1
2026-01-20,2026-01-20 13:52:00,2026-01-20 13:53:00,2026-01-20 14:23:00,171,172,202,30,-1,4.728,4.717,23.292758016724378,18.792758016724378,6,-1.1698502097729484,-0.8335329244756033,0.1139055780808269,0.09449080198701343,0.3448275862068966,0.1,-0.1,0.11666666666666667,0.10536320970471691,0.08333333333333333,1
2026-02-26,2026-02-26 13:51:00,2026-02-26 13:52:00,2026-02-26 14:22:00,170,171,201,30,-1,4.731,4.725,12.690357033050441,8.190357033050441,5,-1.0151188015445547,-0.3669464077646675,0.08853846080753261,0.3196522938376722,0.6551724137931034,-0.2833333333333333,-0.008823529411764675,-0.22569444444444445,0.14388512737311404,0.17708333333333334,2
2026-03-03,2026-03-03 10:06:00,2026-03-03 10:07:00,2026-03-03 10:37:00,35,36,66,30,-1,4.696,4.712,-34.01363823490261,-38.51363823490261,4,-1.047589332700142,-0.322061829839274,0.0,2.1210440142899554,0.9655172413793104,-0.7,-0.016666666666666607,-0.6789297658862876,-0.9423632340333628,0.15719063545150502,2
2026-03-03,2026-03-03 10:58:00,2026-03-03 10:59:00,2026-03-03 11:29:00,87,88,118,30,-1,4.729,4.73,-2.114388421029302,-6.614388421029302,5,-0.7745248772443749,0.41425430773724087,0.08999953767514549,0.37798312126940237,0.3103448275862069,-0.016666666666666666,-0.37873563218390804,0.15488215488215487,0.49982551125611596,0.09090909090909091,2
2026-03-11,2026-03-11 11:04:00,2026-03-11 11:05:00,2026-03-11 13:05:00,93,94,124,30,-1,4.713,4.704,19.114373452680397,14.614373452680397,5,-0.7912100105228879,0.2868557305158876,0.0,2.6380828238718133,0.7241379310344828,-0.2,-0.08679245283018869,-0.2508591065292096,3.1810303699582336,0.058419243986254296,3
2026-03-17,2026-03-17 10:32:00,2026-03-17 10:33:00,2026-03-17 11:03:00,61,62,92,30,-1,4.718,4.705,27.592079481402582,23.092079481402582,4,-0.8535894409627184,-0.5083538608582527,0.5418847280921952,0.23742432469092703,0.6896551724137931,-0.18333333333333332,0.06666666666666668,-0.19666666666666666,-0.04149259010984649,0.12333333333333334,3
2026-03-20,2026-03-20 10:31:00,2026-03-20 10:32:00,2026-03-20 11:02:00,60,61,91,30,-1,4.609,4.604,10.85422878734964,6.354228787349641,6,-0.8721359211119998,-0.38534811252179524,0.0,1.800894629261435,0.896551724137931,-0.7666666666666667,-0.5385964912280703,-0.5589225589225589,0.9325251631635301,0.18181818181818182,3
2026-03-23,2026-03-23 10:20:00,2026-03-23 10:21:00,2026-03-23 10:51:00,49,50,80,30,-1,4.513,4.484,64.46615634950612,59.96615634950612,4,-0.9801110495494835,-0.14682027167396924,0.2929959880000172,1.254977257291685,0.7241379310344828,-0.5833333333333334,-0.2833333333333334,-0.4,-0.24742237410204537,0.04666666666666667,3
2026-03-23,2026-03-23 14:20:00,2026-03-23 14:21:00,2026-03-23 14:51:00,199,200,230,30,-1,4.427,4.411,36.20732627201287,31.70732627201287,5,-1.0287119396922948,-0.004914865252692519,0.45731507020875695,1.311403250345143,0.6896551724137931,-0.38333333333333336,-0.3666666666666667,-0.2866666666666667,1.1355679893244384,0.02666666666666667,3
2026-04-01,2026-04-01 10:35:00,2026-04-01 10:36:00,2026-04-01 11:06:00,64,65,95,30,-1,4.523,4.524,-2.210677581679447,-6.710677581679446,4,-0.8760661235383838,-0.022283905665496095,0.1354028923272483,0.47480720526319914,0.5172413793103449,-0.38333333333333336,-0.6206214689265537,-0.016722408026755852,-0.019381712289105235,0.033444816053511704,3
