date,day_net_signed_ret_bps
2023-06-19,-6.0
2023-06-27,19.940351770465277
2023-11-08,-6.0
2023-11-29,-6.0
2023-12-19,-12.0
2023-12-21,-6.0
2023-12-27,23.368596733097057
2024-01-03,23.11210207458313
2024-01-05,23.19710103334846
2024-01-08,47.52398527295352
2024-01-09,-6.0
2024-01-12,-6.0
2024-01-16,-6.0
2024-01-19,73.60312460670744
2024-01-23,19.007776782481855
2024-01-24,106.61220437812062
2024-02-02,50.59847340911081
2024-02-06,-6.0
2024-02-07,-12.0
2024-02-20,-12.0
2024-02-21,-12.0
2024-02-22,16.86004889135073
2024-02-28,33.306747089851555
2024-03-04,-12.0
2024-03-05,22.288562004778445
2024-03-13,-6.0
2024-03-18,-6.0
2024-03-22,-12.0
2024-04-12,22.77699827614974
2024-04-15,44.57712400955689
2024-07-03,22.694424279529606
2024-07-05,-6.0
2024-07-24,68.08374536600049
2024-09-02,-6.0
2024-09-09,-12.0
2024-09-23,24.44142381228273
2024-09-24,-6.0
2024-09-30,205.8327144408193
2024-10-08,336.0804294982659
2025-03-06,18.783160144670006
2025-04-07,47.476063265952774
